,Otu0001,Otu0002,Otu0005,Otu0013,Otu0003,Otu0008,Otu0009
BRMA1,53.43500902,7.419757468,1.150686601,6.76028378,0,0,0
BRMA10,12.87403552,0.696054601,1.41590594,5.865046155,0,0,0
BRMA2,47.56556684,28.24258372,5.170691063,1.879034346,0,0,0
BRMA3,53.83800336,18.43377594,1.429054577,1.244853897,0,0,0
BRMA4,49.5786442,1.645437758,1.613976233,20.83382187,0,0,0
BRMA5,29.44367507,18.02039563,1.899660003,0.784198779,0,0,0
BRMA6,31.00946019,27.09109293,1.859525734,0.798018149,0,0,0
BRMA7,35.76219995,1.32632764,2.644070634,1.805636981,0,0,0
BRMA8,17.98653776,0.730619026,11.48813462,5.452740053,0,0,0
BRMA9,12.28660021,0.69117886,1.699788012,12.4995857,0,0,0
BRRG1,57.09468403,0,0.756103315,14.4962576,5.608588822,0,0
BRRG10,84.41628307,0,1.062495172,2.54582177,1.523604188,0,0
BRRG2,50.33828977,0,4.616396571,7.39042172,3.861893939,0,0
BRRG3,68.20784575,0,9.719233505,1.62646051,2.802284363,0,0
BRRG4,48.79300787,0,1.309191305,18.6835795,7.293220839,0,0
BRRG5,79.41495687,0,4.238945918,2.91993899,2.191632371,0,0
BRRG6,43.24710756,0,30.36255651,5.18556053,3.772561745,0,0
BRRG7,61.34644058,0,2.584503521,1.66481323,2.863357848,0,0
BRRG8,71.3825685,0,1.597336738,1.23211448,7.796310563,0,0
BRRG9,70.04500871,0,10.60023161,1.63978738,1.511834275,0,0
BRVA1,6.426048132,51.70417651,0.554291147,0,0,12.7580193,15.0319691
BRVA10,6.761590825,39.17212708,10.34398867,0,0,3.60999618,2.46432892
BRVA2,3.08901198,42.81879525,5.835974968,0,0,6.29732582,11.1154596
BRVA3,6.842819138,18.28125491,0.684890706,0,0,4.29350373,9.83959647
BRVA4,11.43931181,17.63420933,0.655284395,0,0,1.72627151,9.58683209
BRVA5,2.656508144,22.95278444,7.623224123,0,0,3.29754849,26.6520413
BRVA6,10.88126196,32.97350082,22.65402497,0,0,8.57258856,5.86197056
BRVA7,22.56655,23.55786964,1.559792027,0,0,3.66734828,6.37343714
BRVA8,6.491737009,5.440600045,0.548682885,0,0,4.19848506,1.31941561
BRVA9,11.34304606,45.10768273,11.702236,0,0,4.56773783,12.6483376
WHRG1,34.88772292,10.65847301,0,4.499889053,0,0,0
WHRG10,61.70751093,0.582044957,0,6.073862994,0,0,0
WHRG2,38.32203094,7.305625161,0,4.614371101,0,0,0
WHRG3,17.44987537,1.067244781,0,3.363321512,0,0,0
WHRG4,5.075326986,40.34847134,0,0.833533582,0,0,0
WHRG5,57.38240824,11.27471509,0,1.116172582,0,0,0
WHRG6,26.82189695,2.895698222,0,9.251737924,0,0,0
WHRG7,47.86457871,1.220743944,0,5.157999918,0,0,0
WHRG8,28.23453265,1.156981045,0,5.234014439,0,0,0
WHRG9,61.22450005,0.864873475,0,4.299453323,0,0,0